,user_id,merchant_id,age_range,gender,item_id,cat_id,brand_id,action_type,label
783821,213820,2066,2,0,5,6,7,0,0
2312032,195,2286,5,0,16,8,5,1,1
1212645,318509,4143,6,0,8,6,11,0,0
1969346,323850,361,6,0,6,0,13,0,1
1986660,380935,3191,3,0,4,8,12,0,1
1917943,244850,1512,4,1,4,0,3,2,1
367922,50511,4426,5,0,16,3,16,0,0
592800,338383,1472,5,0,13,2,6,0,0
836152,200794,3734,3,0,7,6,5,0,0
2216854,68225,3323,5,1,7,5,1,1,1
649623,85744,4287,4,0,17,7,15,0,1
2086102,220075,4760,3,1,1,5,0,0,1
1067130,150491,4267,4,0,19,2,14,0,0
1404770,413967,4173,5,0,4,6,13,0,1
1516870,406187,3154,2,0,4,1,11,0,1
1917311,265547,2873,0,0,15,2,1,0,1
2259996,151139,2954,6,0,16,4,4,0,1
2219453,48226,3578,5,0,1,6,7,0,1
1831269,74800,3734,3,0,10,5,5,0,1
1417468,282645,1013,0,0,13,3,5,0,1
1867154,420005,3091,7,0,1,3,16,2,1
1757265,127177,1892,3,0,17,2,15,0,1
633125,316903,2915,4,0,4,0,6,0,0
1634353,282645,1013,0,0,15,3,5,1,1
1975663,124267,4043,3,0,16,3,17,3,1
1590547,311931,1346,4,0,5,5,19,0,1
726176,38428,3159,0,0,14,0,18,0,0
1361088,290695,1713,4,0,7,7,14,0,1
150998,39894,4850,5,0,11,5,18,0,1
1545654,423120,3092,5,0,1,0,4,0,1
928961,185999,3828,3,0,2,6,3,0,1
2170921,392376,4847,0,0,5,9,10,0,1
341141,315456,412,3,1,10,6,10,0,0
2433956,116817,467,0,1,0,1,10,0,1
1178800,304922,4044,6,0,19,1,0,0,0
890078,244345,4926,3,0,18,0,16,3,0
1215833,114479,1305,0,0,9,7,12,2,0
1595656,107810,1721,5,0,7,3,16,1,1
208159,153078,2649,0,1,3,5,13,0,0
944511,307352,1557,4,0,2,2,2,0,1
278821,26652,1892,3,0,0,1,15,2,0
913645,259718,3205,5,1,14,6,5,0,0
1586940,57221,3576,2,0,2,6,13,1,1
1514406,62541,1393,2,0,2,8,11,0,1
526812,354985,2720,5,1,7,8,2,0,0
1436408,401983,515,4,0,9,4,14,0,1
1129029,157949,1322,4,0,5,5,8,0,0
772065,187702,643,3,0,14,6,1,0,0
440941,386169,1310,3,1,10,9,18,0,0
1425294,336878,2569,0,0,2,3,0,0,1
308703,231726,1308,3,1,13,9,17,2,0
272681,271641,4394,3,2,17,8,2,2,0
2224389,350469,2744,5,0,16,0,10,2,1
785900,228925,1602,6,0,14,0,0,3,0
1260568,214856,1833,0,0,15,0,4,0,0
2176572,154469,1393,0,0,15,8,11,1,1
2148889,57162,3536,3,0,0,6,8,0,1
2004230,412384,71,4,1,9,1,6,2,1
617725,2014,1203,0,0,2,7,6,0,0
911541,123269,3085,0,0,11,4,5,2,0
406936,321381,4287,5,1,6,7,15,0,0
362397,410955,1608,6,0,0,3,0,0,0
119959,263364,682,0,1,4,4,0,2,0
1897185,201631,2436,3,0,15,1,13,2,1
95838,267702,4976,3,0,2,3,14,2,0
736632,356641,416,0,0,14,8,9,3,0
1947503,17515,4044,3,0,13,6,0,3,1
1242892,116798,4756,6,0,5,2,17,2,0
2304437,380309,3294,5,0,9,2,14,0,1
1760316,285188,3828,5,0,3,8,3,0,1
1695081,350469,2744,5,0,5,1,10,0,1
1628782,133090,1013,5,0,17,4,5,0,1
1687028,401716,4044,0,0,15,3,0,3,1
1840517,5662,1102,4,0,14,3,2,2,1
1965080,347476,2545,5,1,7,8,5,0,1
2289317,148715,2684,5,1,10,2,12,0,1
2093645,303634,3463,7,1,5,0,4,0,1
1540124,156416,2915,0,0,15,7,6,0,1
1486439,134023,3432,6,0,17,3,12,3,1
2140318,374493,474,3,0,10,7,3,0,1
1340553,2933,1370,3,2,2,8,4,0,0
542747,115123,1963,4,0,3,5,14,0,0
1972368,210527,4234,5,0,6,6,13,1,1
750668,106282,1102,0,0,10,9,2,0,1
1605478,333662,985,5,1,3,0,17,0,1
1259828,62792,120,3,1,16,2,0,2,0
754773,386860,790,2,0,16,6,0,0,0
1595929,203499,3828,6,1,12,9,3,0,1
539193,42673,4525,2,1,3,7,11,0,0
243624,29961,3734,3,1,10,5,5,0,1
644611,84205,861,2,1,4,9,12,0,0
288759,399906,4829,2,0,14,4,18,2,0
2329910,142704,4708,3,0,9,4,7,0,1
2323921,255441,2569,2,0,14,7,0,0,1
1866891,12452,1588,5,0,12,3,17,0,1
327006,249912,1272,5,0,5,0,8,2,0
1493088,57607,547,6,1,4,1,12,0,1
1440505,24286,1393,2,0,3,3,11,2,1
49424,301980,3925,4,0,2,1,5,0,0
2155351,110855,3828,4,0,16,1,3,0,1
1915438,377190,4500,0,0,10,4,0,2,1
2366595,87086,2598,2,0,8,0,19,0,1
949694,101531,3640,3,0,5,2,16,0,0
2120799,82862,1393,3,0,8,8,11,0,1
2042202,275062,121,6,0,13,3,5,0,1
174957,283875,1472,3,2,19,2,6,2,0
849630,174178,1467,5,0,14,4,1,0,0
2394851,296226,3925,3,0,3,9,5,0,1
2106046,328144,3734,3,1,0,8,5,0,1
1441236,188181,2161,3,0,15,0,4,0,1
786427,248638,2952,2,0,9,4,17,2,0
1130364,332030,900,6,0,15,4,1,2,0
71353,63144,3163,6,1,9,9,9,2,0
790779,423232,4049,3,0,14,2,12,2,0
1859145,286601,1500,4,0,2,2,17,0,1
1220040,409649,2537,0,0,12,5,14,2,0
2107108,316514,4044,0,0,3,1,0,1,1
510914,205216,4265,3,0,7,0,15,0,0
2343981,256455,3323,0,0,14,5,1,0,1
1996261,5917,3323,0,2,8,5,1,0,1
483101,199312,4171,6,0,13,7,6,3,0
764550,382258,2445,6,0,4,5,6,0,0
237719,217350,2664,3,0,10,2,19,0,0
14727,111240,2569,2,0,17,2,0,0,0
504969,50845,1102,0,0,6,1,2,0,1
731655,307999,1022,3,0,11,5,11,0,0
2458064,230919,4976,3,0,14,3,14,0,1
285451,214560,4847,3,0,5,8,10,0,0
2404943,99452,1393,2,0,6,8,11,0,1
1769590,368978,4044,0,2,0,3,0,1,1
1844821,75403,4581,3,0,13,5,8,2,1
1443646,285615,3200,3,0,4,9,9,0,1
2422996,297352,2130,0,0,15,2,8,1,1
674990,336895,1393,0,0,5,8,11,0,0
1797104,21863,2790,6,0,9,4,9,0,1
1972124,153912,1102,2,0,8,0,2,2,1
1619881,100262,1892,3,0,5,1,15,0,1
1702101,343803,4282,2,1,18,8,18,0,1
1743227,209758,4850,5,0,14,2,18,0,1
1759839,86621,1193,3,0,4,1,6,0,1
671831,89341,4949,6,0,17,9,1,0,0
1106800,249329,1131,5,0,14,4,5,0,0
1362985,340334,1102,4,0,9,0,2,1,1
615776,315613,10,4,1,3,0,5,0,0
2013754,64938,1724,3,1,13,5,3,1,1
1624079,311024,361,6,1,9,0,13,0,1
455316,119425,2138,3,0,3,4,0,3,0
985654,147119,4143,0,0,7,6,11,0,0
2184045,365832,547,3,0,12,2,12,0,1
2236837,140255,3835,3,0,11,7,13,0,1
1070312,70109,1501,2,0,8,9,6,0,0
1329097,87662,4818,3,0,2,9,18,0,0
1641484,100339,141,4,0,7,8,8,0,1
776401,343096,4282,3,1,6,6,18,0,1
1767652,253045,4282,0,0,11,1,18,0,1
2398762,353938,598,3,0,10,1,19,0,1
1416292,270370,4265,0,0,2,1,15,0,1
1399174,20204,2604,6,0,3,2,17,0,1
797582,352324,1346,5,0,11,5,19,3,0
1204606,33065,2883,6,0,0,3,10,2,1
1750489,228462,3092,4,0,15,0,4,0,1
1641751,326460,3828,0,0,18,6,3,0,1
345800,354882,4848,6,0,19,2,6,0,0
1085319,94181,2699,3,0,4,7,15,0,0
1174266,215063,1738,4,0,2,3,7,0,0
678014,302593,2915,0,2,9,0,6,2,0
2407208,160744,3828,0,0,15,1,3,0,1
2372721,291068,4044,3,0,1,5,0,0,1
156327,160728,416,5,0,10,8,9,2,0
472138,316810,2326,3,0,16,0,5,0,0
1730126,21080,2136,6,1,10,5,11,0,1
2204137,408811,4282,0,1,14,8,18,3,1
63320,418467,2397,3,0,8,6,7,3,1
128964,19401,3159,3,0,11,0,18,0,0
1880322,400107,191,0,0,12,1,4,1,1
1050215,192722,2173,6,1,9,0,11,0,0
526030,265129,3207,3,0,19,6,12,0,0
503272,180892,2066,5,0,13,6,7,0,0
1770555,277628,3349,6,0,16,1,7,0,1
2315373,349820,4044,3,1,5,6,0,0,1
662361,191992,2994,3,1,5,7,10,2,0
508657,326047,649,6,0,19,7,14,0,0
2238027,228402,3828,6,0,7,2,3,0,1
2131996,157339,3753,5,1,2,2,1,0,1
1419916,35819,3828,5,0,3,1,3,0,1
1167555,207635,4044,3,0,17,1,0,3,0
693135,96265,598,0,1,0,1,16,2,0
1901560,290293,4282,3,1,11,0,18,0,1
1489380,149734,4647,0,0,8,3,0,1,1
425442,40560,3473,3,0,9,3,7,0,0
2167968,33242,8,6,0,5,7,8,0,1
983191,127406,4847,3,0,4,3,10,0,0
107043,29628,1393,5,0,17,4,11,0,0
1865490,258923,1102,3,1,14,8,2,0,1
1689067,38491,2481,2,0,1,6,17,0,1
924358,394124,1305,0,1,11,1,12,0,1
349561,227652,2700,0,1,6,7,13,0,1
1314617,105575,1393,6,0,5,1,11,0,0
1773694,47267,2834,3,0,9,4,1,0,1
1688764,67458,3519,0,0,11,5,11,0,1
75411,346794,2031,4,0,12,5,6,3,0
857744,288358,2629,3,0,4,1,19,2,0
2291718,405485,3828,4,0,2,2,3,1,1
1283306,67157,4465,4,0,2,0,0,0,0
1438186,134745,2639,5,1,13,4,16,0,1
1241653,137021,3609,5,0,16,0,16,0,0
1337889,20339,46,2,1,11,7,3,2,0
2175660,55784,246,4,0,6,1,11,0,1
94504,230070,323,0,0,2,8,0,0,0
2121869,265379,1892,4,0,5,7,15,1,1
1723750,65214,416,3,0,10,8,9,0,1
416727,362859,879,4,0,13,3,4,0,0
206877,302838,4818,5,0,1,9,18,0,0
2124943,60911,567,3,0,17,8,12,0,1
1347961,11897,2273,4,0,5,8,5,0,0
620454,40672,3472,4,0,6,5,1,2,0
1113221,352244,4336,3,0,6,6,16,0,0
2395007,272333,3432,6,0,17,2,12,0,1
1305950,306530,1923,3,0,0,8,10,3,0
793950,345154,1102,2,0,12,7,2,0,0
1533341,275146,1102,5,0,8,0,2,0,1
2171970,284356,1131,3,1,4,5,5,1,1
1737330,26633,790,0,0,6,1,0,0,1
443208,203898,4648,3,0,16,8,18,3,1
1893116,392676,1597,2,0,4,5,17,0,1
588503,126925,3828,5,0,14,9,3,0,1
1903725,75800,1559,5,1,13,8,18,0,1
2053176,38318,4847,3,0,0,6,10,0,1
1205746,9257,4949,7,0,4,9,19,2,0
2300681,401506,1393,4,0,5,9,11,0,1
1912057,208635,3880,2,0,8,3,2,2,1
2196385,174478,3828,0,0,17,8,3,1,1
734977,361249,3406,0,0,15,8,2,0,0
329769,151353,2994,5,1,15,7,2,0,0
292375,76836,1810,2,0,8,8,16,0,0
1479354,93606,1393,0,0,16,3,11,0,1
602026,55765,121,0,0,7,5,5,2,0
1854619,186098,2639,5,0,12,6,16,0,1
470774,130441,474,6,1,13,5,7,2,0
1863133,304265,2721,2,0,18,6,9,0,1
2168520,157149,3016,3,1,6,5,9,0,1
1800347,227340,4818,5,0,9,8,18,0,1
1349015,256634,4693,3,0,17,7,11,3,0
475384,30859,2709,3,0,10,0,10,3,0
2305225,399789,4847,4,0,3,8,9,0,1
550768,361144,2565,4,0,15,0,19,0,0
1903392,249300,2928,3,0,12,5,10,0,1
445790,232572,3990,4,0,0,3,13,0,0
520663,269734,4267,4,0,12,2,14,0,0
1095158,376811,946,3,0,0,6,8,0,0
665961,391930,4271,0,0,0,7,6,0,0
540747,109234,215,2,0,18,6,9,2,0
706064,184081,4693,3,0,11,7,18,0,0
1083318,16868,3828,0,2,10,7,3,2,0
1589454,12913,268,6,1,6,5,13,0,1
2378076,112837,2138,6,0,18,2,0,0,1
1231364,414263,4659,2,0,1,0,18,3,0
475667,105100,2928,5,1,12,5,10,0,0
759667,176431,4765,3,0,0,5,6,3,0
1959177,54179,598,3,1,2,2,16,1,1
2218795,319358,191,2,0,7,2,4,0,1
1569070,283272,1944,5,0,11,6,11,0,1
623846,96481,3828,3,0,12,6,3,0,0
537991,324016,4847,2,0,0,3,10,0,0
491874,207253,2397,0,0,15,7,7,0,0
748133,138280,773,4,0,11,1,14,0,0
2257269,72060,1892,4,1,5,8,15,1,1
1625731,63371,641,6,0,18,2,10,0,1
949178,84890,2602,7,0,15,8,4,0,0
1431632,363019,1835,6,0,6,1,3,0,1
1195415,79907,643,4,0,12,9,1,0,0
1800301,327673,2700,5,0,9,8,13,3,1
1565421,155405,1393,3,0,5,8,11,1,1
697688,136972,3148,5,1,9,9,12,0,0
1059564,325847,2273,0,0,17,8,5,0,0
254257,268047,1581,3,0,11,2,10,2,0
909632,52100,4605,5,0,16,5,18,2,0
1970525,241222,4129,3,0,12,0,13,0,1
955917,87710,742,6,1,15,2,2,2,0
607751,347608,574,6,1,10,8,15,0,0
1502203,272099,3990,6,0,1,7,13,0,1
904616,48257,1618,6,0,17,9,19,0,0
1711681,195696,2072,0,1,12,9,1,0,1
1274818,273488,219,3,0,10,0,4,0,0
901199,192127,2644,3,1,18,2,7,0,0
1356339,28286,1203,0,1,8,5,6,2,1
2392822,288671,3016,0,0,8,5,9,0,1
516026,345763,4040,4,0,5,8,19,0,0
723692,209434,3925,0,0,17,4,5,0,1
2403923,419354,3636,1,0,17,6,12,0,1
109060,96957,4797,5,1,5,0,19,0,0
963218,240035,3635,3,1,4,1,19,0,0
2187581,55831,3828,4,0,5,8,3,0,1
1177881,329753,742,2,0,7,6,2,0,0
1946367,103794,1102,0,0,16,1,2,0,1
314537,301617,2669,5,0,11,2,9,0,0
1072215,334046,1472,3,0,6,2,6,0,0
2046586,330490,4267,5,0,10,4,14,0,1
414755,101994,2664,0,0,2,7,19,0,0
2121686,28136,437,6,0,10,2,18,0,1
714819,357397,4614,3,0,2,8,1,0,0
2186006,340128,962,4,0,17,5,4,0,1
1973082,250207,4847,0,0,13,1,10,0,1
1773482,270884,467,0,0,19,8,11,0,1
580320,413896,1056,0,0,13,7,3,0,0
1274715,71504,3734,4,0,13,9,5,2,0
1127515,171005,416,0,1,9,9,9,0,0
40677,34455,630,5,0,15,1,4,0,0
1782340,71452,2639,0,0,6,5,16,0,1
1840545,354602,4261,5,2,6,1,11,2,1
836513,279898,4039,3,0,11,3,9,2,0
2401256,221988,1841,3,0,12,3,12,2,1
379803,342357,4044,3,0,8,1,0,0,0
881951,214132,1754,3,0,8,1,18,0,1
1046035,234704,1131,7,0,12,6,5,0,1
1771480,340296,1393,3,0,15,8,11,0,1
827072,110677,742,6,1,1,2,2,0,0
1869925,311525,1835,3,0,5,3,3,0,1
590602,65998,598,6,0,17,2,19,3,0
2354546,48796,3765,3,0,10,1,0,0,1
910691,284804,459,6,0,15,4,6,0,0
273711,171546,2217,0,0,16,3,7,2,1
882863,312181,1210,3,1,8,5,15,2,1
1252486,28739,4374,2,0,17,9,9,0,0
1971119,309862,1540,4,0,4,0,10,0,1
2283408,83622,1272,4,0,7,1,8,0,1
2373339,42189,1102,2,0,1,1,2,1,1
737614,330274,1487,6,0,15,3,15,0,1
132200,336843,1393,3,0,15,8,11,0,1
888189,117112,968,0,0,12,8,13,0,1
511497,157600,3828,3,0,14,8,3,3,0
1035262,173258,4282,5,1,18,5,18,0,1
208612,234231,2066,2,0,12,6,7,0,0
1371970,382321,1420,4,0,11,6,13,2,1
205185,40437,1594,6,0,0,0,10,0,0
1976605,269995,1816,3,0,10,4,5,0,1
1600716,256513,862,0,1,1,2,19,0,1
1573583,98187,1102,3,0,18,4,2,1,1
472427,131722,3828,3,1,5,8,3,0,0
1425575,403079,4847,3,0,7,1,10,0,1
793805,402754,2664,6,0,19,6,19,0,0
1501253,90063,4847,3,0,14,6,4,2,1
1853527,360896,4265,2,0,2,1,15,0,1
213763,282105,1239,3,0,2,4,19,0,1
1273479,358991,1168,4,1,4,1,12,0,0
836530,411226,1393,6,0,12,3,11,3,1
148959,100053,141,3,0,6,9,8,2,0
2312813,290929,1340,3,0,13,5,4,0,1
1312838,168806,4186,3,1,19,6,14,0,0
327730,335928,4258,6,0,14,6,11,2,0
1661418,184096,1102,5,0,5,2,2,0,1
283656,343839,1472,4,0,13,2,6,0,0
1013996,347582,1487,5,0,2,6,15,0,0
1538311,306867,2664,3,0,15,2,19,0,1
2085708,199469,3148,6,0,8,6,12,0,1
1344833,290423,1440,0,1,8,8,1,2,0
236933,123654,1784,4,0,16,1,18,0,0
728724,394525,586,3,0,2,4,13,0,0
1295239,95579,1810,4,0,7,6,16,0,0
1659666,389526,3148,0,1,7,2,18,0,1
2281313,312108,2173,2,0,11,0,11,0,1
1047731,226256,2569,5,0,3,2,0,0,0
743534,278053,26,5,1,18,6,9,0,0
275643,46107,2403,5,2,5,2,19,0,0
2059826,95861,416,0,0,6,5,9,0,1
781040,320059,3828,4,1,6,9,3,0,0
2048705,248356,4771,2,0,17,4,16,0,1
360809,349002,2138,3,0,5,0,0,2,0
1476241,240170,4287,3,1,7,8,15,0,1
1634726,361048,2700,6,1,8,5,13,0,1
857077,197734,2047,3,1,14,2,4,2,1
505345,198301,1056,0,0,12,1,2,0,0
188863,307692,2664,6,0,3,7,19,0,0
1962429,281409,361,6,0,3,0,13,1,1
1310403,206180,3828,0,0,17,9,3,0,0
2342437,228060,121,5,0,2,3,4,2,1
237026,324102,1393,3,1,19,9,11,0,0
870855,194926,508,3,0,12,0,0,0,0
834621,338521,3826,3,0,10,5,5,0,0
523277,296104,4966,4,0,17,5,8,0,0
1740365,200665,1583,3,0,6,2,18,0,1
2265992,242844,1677,0,0,12,5,13,0,1
1481143,135731,4049,3,0,9,9,12,0,1
994778,202676,1619,0,1,15,4,10,2,0
1600856,178230,4760,0,0,8,2,0,0,1
1766118,65750,4282,3,2,13,5,18,0,1
724723,379675,2217,2,0,2,8,7,0,0
96642,229815,1102,3,0,10,6,2,3,0
1938119,226727,4917,0,2,16,4,12,1,1
1782929,24792,4659,5,0,3,0,18,0,1
802962,224839,323,4,0,17,8,0,2,0
351561,107334,2537,0,0,19,0,14,0,0
115548,98241,2698,4,1,11,0,8,0,0
903656,149888,1736,6,1,12,9,10,0,0
2349833,285932,3828,6,0,16,9,3,1,1
1607242,319476,1810,4,2,18,9,16,1,1
17513,352905,3828,2,2,5,9,3,2,0
176124,393444,2664,0,1,2,5,19,2,0
2403647,214555,4768,2,0,8,6,17,0,1
1752099,253306,4234,4,0,13,1,13,0,1
1052306,385235,2473,3,0,8,6,19,0,0
1667334,291024,121,6,0,2,2,5,0,1
793157,117826,66,3,0,14,2,6,0,0
482030,156559,4558,6,1,0,7,13,0,0
1789451,175455,114,3,0,8,1,10,0,1
1192940,371234,1131,3,1,4,6,5,0,0
90638,75699,437,4,1,14,0,0,0,0
1433779,87747,4173,4,0,17,5,13,2,1
414322,415593,437,0,0,6,3,18,0,0
390366,214107,3828,0,0,18,9,3,0,1
1155147,101645,2318,3,0,0,0,17,0,0
803696,318280,141,2,0,14,9,8,0,1
2040589,254094,1102,3,0,7,1,2,1,1
262599,170004,1659,0,0,13,6,18,0,0
1475925,173798,474,3,0,13,7,4,0,1
1196050,102692,4933,3,0,5,0,6,0,0
584448,297931,4067,0,0,11,1,4,0,0
330636,316218,586,0,0,8,1,13,3,0
2460054,165889,1102,7,0,3,8,2,0,1
871236,76654,3644,0,0,7,3,16,2,0
865917,10603,4044,0,0,17,3,0,0,0
1475159,376694,4287,3,0,13,1,15,0,1
722850,108826,535,3,0,8,7,6,0,0
2129477,31056,2475,4,0,16,3,17,0,1
1703076,35819,3828,5,0,4,3,3,0,1
1316571,107624,2639,4,0,16,4,16,0,0
825619,59476,4073,2,0,2,1,11,0,0
721923,267289,2448,3,0,15,5,1,0,0
1943711,127283,2444,3,0,7,1,7,2,1
2439578,14647,1183,0,0,6,8,15,0,1
120382,148164,2066,3,1,0,6,7,0,1
2402834,342474,4502,4,0,13,8,17,1,1
1486,24960,1056,5,1,7,1,3,0,0
971280,346535,3578,6,1,19,7,7,0,0
120975,233157,3828,2,0,9,9,3,0,0
721798,198169,2928,4,0,9,5,10,2,0
1648515,291926,1102,5,1,6,5,2,0,1
2237561,136182,630,5,0,3,4,4,0,1
2322392,16131,402,6,0,5,0,5,1,1
1856805,216260,2138,3,0,11,0,0,0,1
2392090,285932,3828,6,0,8,9,3,0,1
1127397,232445,3239,5,0,5,7,18,2,0
1057573,190166,2700,0,1,2,7,13,0,0
2120932,238087,1393,0,0,6,3,11,0,1
106943,158652,1102,0,0,16,7,2,0,0
1971131,351913,3828,3,0,11,8,3,0,1
560985,286909,4949,6,0,14,8,1,0,0
1005960,69818,4049,3,0,11,2,12,0,0
654635,347635,4280,3,0,2,4,17,0,0
1481926,420668,1393,0,0,7,3,11,0,1
377741,5460,1485,4,0,6,2,17,0,0
1346534,153464,10,0,1,4,0,5,0,0
1361469,13834,4282,3,1,5,5,18,0,1
1899986,408318,2664,6,0,0,4,19,0,1
1215482,101423,1102,3,0,18,0,2,0,0
2387651,104686,1031,5,0,16,5,18,0,1
365550,215373,4044,2,0,1,1,0,0,0
2183267,74921,1443,2,1,12,3,4,0,1
1924586,307652,1945,4,0,3,7,6,0,1
1685743,201879,643,3,1,9,6,1,0,1
591640,237775,1131,5,0,0,4,5,0,1
149113,40149,590,3,0,7,8,14,0,0
1480288,274509,4044,2,0,0,2,0,0,1
1427470,405485,3828,4,0,12,2,3,0,1
2393633,52071,3828,3,1,6,6,3,0,1
1877352,37792,2187,0,0,12,3,1,0,1
1278576,222290,1102,5,0,14,7,2,0,0
235812,417285,2640,3,0,5,4,4,0,0
42927,44184,20,4,1,7,7,7,0,0
728050,363805,4976,3,0,0,9,14,0,0
2210054,117687,3986,0,0,3,6,3,1,1
211121,387576,1195,3,0,6,2,14,2,0
1249901,185666,594,4,0,1,0,15,0,0
2029067,40408,1963,3,1,17,5,14,0,1
333312,20283,2652,6,0,18,4,17,2,0
933519,219281,4864,4,0,14,7,2,0,0
253304,39183,3925,4,0,8,9,5,0,0
2416304,153051,4818,3,1,13,5,18,0,1
1654202,343803,4282,2,1,6,7,18,0,1
1839157,226173,4847,3,0,12,9,10,0,1
1523165,274537,2482,0,0,1,0,18,2,1
2116469,259017,4847,4,1,13,3,10,0,1
823571,121171,4847,3,0,17,9,10,0,0
1927002,308877,606,4,0,11,6,0,2,1
1626637,56282,4847,4,0,2,3,10,0,1
1550339,325902,3906,0,0,1,3,15,0,1
1603871,262873,4444,3,1,6,7,1,0,1
747273,95527,1340,0,0,18,3,4,2,0
1707781,281982,1393,0,0,2,2,11,0,1
2240890,94977,2038,2,0,8,0,14,2,1
1373953,345341,1963,3,0,15,6,14,0,1
354818,21063,1861,6,0,18,8,10,2,0
1199164,84005,4325,2,0,5,0,19,0,0
344259,103746,4170,0,0,0,8,9,0,0
2285603,237172,1272,0,0,8,1,8,0,1
506536,50590,1724,6,0,7,6,3,0,0
752737,260395,1102,3,0,17,1,2,2,0
152590,151254,4173,3,0,18,6,13,0,0
2168159,214132,1754,3,0,6,9,18,0,1
297059,64551,1150,5,0,11,1,2,0,0
2139950,226254,3936,0,1,0,7,13,2,1
843284,209758,4850,5,0,14,2,18,0,1
540898,378034,2790,4,1,9,5,9,3,0
2121210,385866,4044,2,0,12,5,0,0,1
2381676,58878,1203,5,0,5,4,6,2,1
57827,196512,3586,4,0,12,1,11,0,1
1402849,387031,4043,3,0,5,0,17,0,1
1422409,255964,4465,3,0,8,0,2,1,1
2113452,314582,3853,6,0,12,1,16,0,1
461729,339844,2102,3,0,6,4,10,0,0
1365917,292895,3734,4,2,2,7,5,0,1
3172,13185,4173,3,0,19,3,13,0,1
744085,163621,1679,5,0,13,4,18,2,0
1854900,379077,1999,4,1,4,5,15,2,1
834086,56665,412,5,0,13,2,10,0,0
931918,92048,4044,0,0,7,6,0,0,0
558588,135100,4173,3,0,15,3,13,0,0
1367291,395982,4173,3,0,1,3,13,0,1
1948599,227431,4265,0,0,5,6,15,0,1
1842942,134901,4044,6,0,15,4,0,0,1
664173,193273,4976,0,0,9,3,14,0,0
571237,203203,2459,0,0,8,5,13,0,0
999563,35255,1102,2,0,7,3,2,0,0
115286,220353,3971,3,1,11,9,5,2,0
1253313,393284,2664,4,0,12,7,19,2,0
131841,323019,4718,5,0,1,5,17,0,0
655251,305908,35,3,0,16,8,19,0,0
2409183,390917,323,4,1,6,8,0,1,1
268353,363543,3828,4,0,6,1,3,0,0
1952475,78002,412,4,0,14,4,10,0,1
